id,recipe_name,category,cuisine_type,meal_type,veg_nonveg,ingredients,instructions,prep_time_min,cook_time_min,difficulty_level,calories_per_serving,contains_gluten,contains_dairy,contains_eggs,contains_nuts,contains_shellfish,contains_soy,contains_seafood,contains_red_meat,spicy_level,diabetic_friendly,heart_friendly,image_class_label,image_folder_name,keywords
1,Chicken Biryani,Indian,North Indian,Lunch/Dinner,non-veg,"2 cups basmati rice
500 g chicken pieces
1 cup yogurt
2 sliced onions
1 tbsp garam masala
3 tbsp cooking oil
Salt to taste","Wash and soak basmati rice for about 20 minutes and marinate chicken with yogurt, spices, and salt.
Cook the rice until it is about 70 percent done and set it aside.
In a large pot sauté onions in oil until golden and cook the marinated chicken until tender.
Layer the partially cooked rice over the chicken, cover tightly and cook on low heat for dum cooking.",30,40,medium,550,yes,yes,no,no,no,no,no,yes,hot,no,no,chicken_biryani,chicken_biryani,"biryani,chicken,spicy"

2,Mutton Biryani,Indian,North Indian,Lunch/Dinner,non-veg,"2 cups basmati rice
500 g mutton pieces
1 cup yogurt
2 chopped onions
Mixed biryani spices
3 tbsp cooking oil
Salt to taste","Wash and soak the basmati rice and marinate mutton with yogurt and spices for at least 30 minutes.
Pressure cook the mutton with spices until it becomes tender and flavorful.
Cook rice separately until partially done and prepare a spiced onion base.
Layer mutton and rice together and cook on low heat so the flavors combine well.",40,60,hard,650,yes,yes,no,no,no,no,no,yes,hot,no,no,mutton_biryani,mutton_biryani,"biryani,mutton,spicy"

3,Idli,Indian,South Indian,Breakfast,veg,"2 cups idli rice
1 cup urad dal
1 tsp salt
Water as required","Soak rice and urad dal separately for at least 4 hours.
Grind them into a smooth batter and mix with salt before allowing it to ferment overnight.
Grease idli molds and pour the fermented batter into the molds.
Steam the idlis for about 10 minutes until soft and fluffy.",15,10,easy,120,no,no,no,no,no,no,no,no,mild,yes,yes,idli,idli,"steamed,breakfast"

4,Dosa,Indian,South Indian,Breakfast,veg,"2 cups dosa rice
1 cup urad dal
2 tbsp oil
Salt to taste","Soak rice and urad dal for several hours and grind them into a smooth batter.
Allow the batter to ferment overnight so it becomes airy and flavorful.
Heat a dosa tawa and spread a ladle of batter thinly across the surface.
Drizzle oil around the edges and cook until the dosa turns golden and crisp.",20,15,medium,180,no,no,no,no,no,no,no,no,mild,yes,yes,dosa,dosa,"crispy,breakfast"

5,Chicken 65,Indian,South Indian,Snack,non-veg,"500 g chicken pieces
1/2 cup yogurt
2 tsp red chili powder
Curry leaves
Oil for frying
Salt to taste","Marinate chicken with yogurt, chili powder, and salt for at least 30 minutes.
Heat oil in a deep pan and fry the marinated chicken pieces until crispy.
In another pan sauté curry leaves and spices for tempering.
Add the fried chicken to the tempering and toss well before serving.",20,15,medium,320,no,yes,no,no,no,no,no,no,hot,no,no,chicken_65,chicken_65,"fried,chicken,spicy"

6,Sambar Rice,Indian,South Indian,Lunch,veg,"1 cup rice
1/2 cup toor dal
Mixed vegetables like carrot and beans
1 tbsp tamarind paste
2 tbsp sambar powder","Cook rice and toor dal separately until soft.
Prepare sambar by boiling vegetables with tamarind paste and sambar powder.
Add cooked dal to the sambar mixture and simmer for a few minutes.
Mix the cooked rice with the prepared sambar and serve hot.",15,20,easy,250,no,no,no,no,no,no,no,no,medium,yes,yes,sambar_rice,sambar_rice,"rice,dal"

7,Lemon Rice,Indian,South Indian,Lunch,veg,"2 cups cooked rice
1 fresh lemon juice
2 tbsp roasted peanuts
1 tsp mustard seeds
2 tbsp cooking oil","Heat oil in a pan and add mustard seeds until they start to splutter.
Add peanuts and sauté them lightly until golden.
Mix the cooked rice with lemon juice and salt in a bowl.
Combine the tempering with the rice and mix gently before serving.",10,10,easy,220,no,no,no,yes,no,no,no,no,mild,yes,yes,lemon_rice,lemon_rice,"rice,lemon"

8,Tomato Rice,Indian,South Indian,Lunch,veg,"2 cups cooked rice
2 chopped tomatoes
1 tsp chili powder
1 tsp garam masala
2 tbsp oil","Heat oil in a pan and sauté tomatoes with spices until soft and pulpy.
Cook the mixture until the oil separates and forms a thick masala.
Add cooked rice to the tomato masala and mix gently.
Cook for a few minutes so the flavors combine before serving.",15,15,easy,230,no,no,no,no,no,no,no,no,medium,yes,yes,tomato_rice,tomato_rice,"rice,tomato"

